Close,High,Low,Open,Volume
NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS,NDTV.NS
26.350000381469727,26.399999618530273,26.0,26.049999237060547,1218
27.600000381469727,30.0,25.0,26.100000381469727,40372
26.5,29.5,26.0,26.649999618530273,48277
25.75,26.649999618530273,25.600000381469727,26.0,15705
25.899999618530273,26.700000762939453,25.5,26.649999618530273,18922
25.899999618530273,26.5,25.450000762939453,26.5,12886
25.149999618530273,26.25,25.0,25.950000762939453,119619
26.350000381469727,27.75,25.5,25.5,54370
27.100000381469727,27.75,26.149999618530273,27.399999618530273,29620
27.049999237060547,27.5,25.450000762939453,27.399999618530273,25137
27.549999237060547,27.75,27.100000381469727,27.25,28867
27.700000762939453,27.950000762939453,27.0,27.549999237060547,15010
27.75,28.0,27.100000381469727,27.950000762939453,9439
27.350000381469727,28.200000762939453,27.100000381469727,27.950000762939453,11712
27.399999618530273,27.899999618530273,27.049999237060547,27.350000381469727,24328
27.299999237060547,27.700000762939453,27.049999237060547,27.450000762939453,6231
27.450000762939453,27.700000762939453,27.25,27.549999237060547,6200
28.200000762939453,32.79999923706055,27.100000381469727,27.100000381469727,44847
28.950000762939453,29.299999237060547,28.5,28.700000762939453,15588
28.649999618530273,28.950000762939453,28.200000762939453,28.950000762939453,16678
28.75,28.899999618530273,28.100000381469727,28.899999618530273,8944
28.850000381469727,28.899999618530273,28.200000762939453,28.25,16135
28.899999618530273,30.0,27.899999618530273,30.0,2401
28.149999618530273,28.600000381469727,28.049999237060547,28.049999237060547,7511
28.5,28.700000762939453,28.100000381469727,28.149999618530273,6965
28.049999237060547,28.600000381469727,27.200000762939453,28.299999237060547,9653
28.299999237060547,28.600000381469727,27.950000762939453,28.100000381469727,8923
28.0,28.450000762939453,28.0,28.200000762939453,5821
28.25,29.049999237060547,27.75,28.399999618530273,33711
33.900001525878906,33.900001525878906,29.100000381469727,31.0,143610
34.75,38.900001525878906,34.0,35.400001525878906,560915
33.95000076293945,34.900001525878906,33.0,33.599998474121094,62630
32.79999923706055,34.29999923706055,32.150001525878906,33.95000076293945,49552
32.54999923706055,32.900001525878906,31.5,31.5,20814
33.25,34.54999923706055,32.0,33.0,56553
33.70000076293945,35.0,33.04999923706055,33.95000076293945,26339
33.150001525878906,33.900001525878906,32.5,33.70000076293945,29107
32.95000076293945,34.95000076293945,32.29999923706055,34.95000076293945,9986
33.0,33.20000076293945,32.20000076293945,33.0,14553
32.79999923706055,34.0,32.0,34.0,14133
32.599998474121094,33.650001525878906,32.150001525878906,33.650001525878906,3708
31.200000762939453,34.900001525878906,30.600000381469727,32.849998474121094,18704
30.899999618530273,32.5,30.5,31.200000762939453,18621
31.100000381469727,31.5,30.549999237060547,31.450000762939453,11817
30.75,31.100000381469727,29.0,30.700000762939453,18204
31.850000381469727,32.349998474121094,30.25,31.799999237060547,5273
28.899999618530273,30.75,27.399999618530273,28.649999618530273,20835
28.25,29.899999618530273,26.399999618530273,29.850000381469727,24424
28.850000381469727,29.899999618530273,27.75,29.799999237060547,13951
23.899999618530273,29.700000762939453,23.5,26.850000381469727,97656
24.5,25.0,19.149999618530273,23.25,57862
24.299999237060547,25.5,23.200000762939453,25.5,22337
24.649999618530273,28.0,24.100000381469727,24.850000381469727,18388
23.700000762939453,25.0,23.200000762939453,25.0,8581
20.950000762939453,23.899999618530273,20.299999237060547,23.0,48796
22.299999237060547,22.950000762939453,19.100000381469727,22.899999618530273,45251
22.899999618530273,25.0,20.200000762939453,20.200000762939453,31715
23.799999237060547,26.950000762939453,23.049999237060547,25.649999618530273,55653
25.0,25.799999237060547,22.100000381469727,24.0,26760
25.0,26.899999618530273,24.299999237060547,25.0,33339
23.25,26.0,22.850000381469727,25.049999237060547,27971
24.850000381469727,25.0,23.200000762939453,24.850000381469727,59255
25.450000762939453,26.25,24.049999237060547,26.25,26409
24.299999237060547,25.0,23.5,25.0,13619
24.549999237060547,25.399999618530273,24.149999618530273,24.450000762939453,3175
25.049999237060547,26.25,24.549999237060547,26.100000381469727,60319
25.200000762939453,25.5,25.049999237060547,25.450000762939453,13668
25.5,26.0,25.0,25.299999237060547,17435
25.100000381469727,25.950000762939453,25.0,25.049999237060547,16263
25.25,25.899999618530273,24.5,25.850000381469727,33066
25.0,25.850000381469727,24.0,25.850000381469727,19052
25.350000381469727,25.799999237060547,25.0,25.100000381469727,20464
26.25,29.450000762939453,25.049999237060547,25.850000381469727,84015
23.850000381469727,26.049999237060547,22.399999618530273,26.049999237060547,177244
24.25,25.0,23.850000381469727,24.899999618530273,44352
24.649999618530273,25.0,24.100000381469727,24.899999618530273,29822
24.450000762939453,25.0,24.200000762939453,24.299999237060547,19452
24.799999237060547,26.0,24.299999237060547,24.299999237060547,24051
24.799999237060547,25.399999618530273,24.450000762939453,24.950000762939453,19881
24.899999618530273,25.5,24.049999237060547,24.049999237060547,12360
25.049999237060547,25.350000381469727,24.850000381469727,25.149999618530273,22554
25.0,25.399999618530273,24.549999237060547,25.049999237060547,23046
25.149999618530273,25.399999618530273,25.0,25.149999618530273,28474
25.25,25.649999618530273,24.600000381469727,25.0,8334
25.0,25.450000762939453,24.200000762939453,24.200000762939453,4236
25.149999618530273,26.450000762939453,25.0,25.600000381469727,30286
30.149999618530273,30.149999618530273,25.0,25.899999618530273,184117
36.150001525878906,36.150001525878906,31.850000381469727,31.850000381469727,613979
39.75,39.75,38.400001525878906,38.95000076293945,146968
43.70000076293945,43.70000076293945,35.79999923706055,41.150001525878906,825452
48.04999923706055,48.04999923706055,44.0,46.70000076293945,542801
